speech_key,area,reference_role,audio_path,english_text,filipino_text,translation_policy,review_status,review_notes
lesson-6-guided-who-rosa,lesson-6,instruction,lessons/lesson-6/guided/lesson-6-guided-who-rosa.wav,"Look at the highlighted name. Who has a pet cat?","Tingnan ang pangalang naka-highlight. Sino ang may alagang pusa?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-demo-who-rosa,lesson-6,instruction,lessons/lesson-6/demo/lesson-6-demo-who-rosa.wav,"The sentence says Rosa. Choose Rosa.","Rosa ang sinasabi ng pangungusap. Piliin si Rosa.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-correct-who-rosa,lesson-6,result,lessons/lesson-6/correct/lesson-6-correct-who-rosa.wav,"That is correct. Rosa has the pet cat.","Tama. Si Rosa ang may alagang pusa.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-question-what-mia,lesson-6,question,lessons/lesson-6/question/lesson-6-question-what-mia.wav,"What does Mia have?","Ano ang mayroon si Mia?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-guided-what-mia,lesson-6,instruction,lessons/lesson-6/guided/lesson-6-guided-what-mia.wav,"Look at the highlighted thing. What does Mia have?","Tingnan ang bagay na naka-highlight. Ano ang mayroon si Mia?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-demo-what-mia,lesson-6,instruction,lessons/lesson-6/demo/lesson-6-demo-what-mia.wav,"The sentence says a red pen. Choose A red pen.","Pulang bolpen ang sinasabi ng pangungusap. Piliin ang pulang bolpen.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-correct-what-mia,lesson-6,result,lessons/lesson-6/correct/lesson-6-correct-what-mia.wav,"That is correct. Mia has a red pen.","Tama. May pulang bolpen si Mia.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-question-what-ben,lesson-6,question,lessons/lesson-6/question/lesson-6-question-what-ben.wav,"What does Ben have?","Ano ang mayroon si Ben?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-guided-what-ben,lesson-6,instruction,lessons/lesson-6/guided/lesson-6-guided-what-ben.wav,"Look at the highlighted thing. What does Ben have?","Tingnan ang bagay na naka-highlight. Ano ang mayroon si Ben?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-demo-what-ben,lesson-6,instruction,lessons/lesson-6/demo/lesson-6-demo-what-ben.wav,"The sentence says a pet dog. Choose A pet dog.","Alagang aso ang sinasabi ng pangungusap. Piliin ang alagang aso.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-correct-what-ben,lesson-6,result,lessons/lesson-6/correct/lesson-6-correct-what-ben.wav,"That is correct. Ben has a pet dog.","Tama. May alagang aso si Ben.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-question-where-cat,lesson-6,question,lessons/lesson-6/question/lesson-6-question-where-cat.wav,"Where is the cat?","Nasaan ang pusa?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-guided-where-cat,lesson-6,instruction,lessons/lesson-6/guided/lesson-6-guided-where-cat.wav,"Look at the highlighted place. Where is the cat?","Tingnan ang lugar na naka-highlight. Nasaan ang pusa?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-demo-where-cat,lesson-6,instruction,lessons/lesson-6/demo/lesson-6-demo-where-cat.wav,"The sentence says on a bed. Choose On a bed.","Nasa ibabaw ng kama ang sinasabi ng pangungusap. Piliin ang nasa ibabaw ng kama.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-correct-where-cat,lesson-6,result,lessons/lesson-6/correct/lesson-6-correct-where-cat.wav,"That is correct. The cat is on a bed.","Tama. Nasa ibabaw ng kama ang pusa.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-question-where-hen,lesson-6,question,lessons/lesson-6/question/lesson-6-question-where-hen.wav,"Where is the hen?","Nasaan ang inahin?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-guided-where-hen,lesson-6,instruction,lessons/lesson-6/guided/lesson-6-guided-where-hen.wav,"Look at the highlighted place. Where is the hen?","Tingnan ang lugar na naka-highlight. Nasaan ang inahin?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-demo-where-hen,lesson-6,instruction,lessons/lesson-6/demo/lesson-6-demo-where-hen.wav,"The sentence says in a hut. Choose In a hut.","Nasa loob ng kubo ang sinasabi ng pangungusap. Piliin ang nasa loob ng kubo.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-correct-where-hen,lesson-6,result,lessons/lesson-6/correct/lesson-6-correct-where-hen.wav,"That is correct. The hen is in a hut.","Tama. Nasa loob ng kubo ang inahin.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-question-when-lito,lesson-6,question,lessons/lesson-6/question/lesson-6-question-when-lito.wav,"When can Lito run?","Kailan maaaring tumakbo si Lito?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-guided-when-lito,lesson-6,instruction,lessons/lesson-6/guided/lesson-6-guided-when-lito.wav,"Look at the highlighted time. When can Lito run?","Tingnan ang oras na naka-highlight. Kailan maaaring tumakbo si Lito?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-demo-when-lito,lesson-6,instruction,lessons/lesson-6/demo/lesson-6-demo-when-lito.wav,"The sentence says at noon. Choose At noon.","Sa tanghali ang sinasabi ng pangungusap. Piliin ang sa tanghali.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-correct-when-lito,lesson-6,result,lessons/lesson-6/correct/lesson-6-correct-when-lito.wav,"That is correct. Lito can run at noon.","Tama. Maaaring tumakbo si Lito sa tanghali.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-question-when-nena,lesson-6,question,lessons/lesson-6/question/lesson-6-question-when-nena.wav,"When can Nena nap?","Kailan maaaring umidlip si Nena?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-guided-when-nena,lesson-6,instruction,lessons/lesson-6/guided/lesson-6-guided-when-nena.wav,"Look at the highlighted time. When can Nena nap?","Tingnan ang oras na naka-highlight. Kailan maaaring umidlip si Nena?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-demo-when-nena,lesson-6,instruction,lessons/lesson-6/demo/lesson-6-demo-when-nena.wav,"The sentence says at ten. Choose At ten.","Sa alas-diyes ang sinasabi ng pangungusap. Piliin ang sa alas-diyes.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-correct-when-nena,lesson-6,result,lessons/lesson-6/correct/lesson-6-correct-when-nena.wav,"That is correct. Nena can nap at ten.","Tama. Maaaring umidlip si Nena sa alas-diyes.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-question-why-mila,lesson-6,question,lessons/lesson-6/question/lesson-6-question-why-mila.wav,"Why is Mila wet?","Bakit basa si Mila?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-guided-why-mila,lesson-6,instruction,lessons/lesson-6/guided/lesson-6-guided-why-mila.wav,"Look at the highlighted reason. Why is Mila wet?","Tingnan ang dahilan na naka-highlight. Bakit basa si Mila?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-demo-why-mila,lesson-6,instruction,lessons/lesson-6/demo/lesson-6-demo-why-mila.wav,"The sentence says rain made Mila wet. Choose Rain.","Nabasa si Mila dahil sa ulan. Piliin ang ulan.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-correct-why-mila,lesson-6,result,lessons/lesson-6/correct/lesson-6-correct-why-mila.wav,"That is correct. Rain made Mila wet.","Tama. Nabasa si Mila dahil sa ulan.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-question-why-tino,lesson-6,question,lessons/lesson-6/question/lesson-6-question-why-tino.wav,"Why is Tino sad?","Bakit malungkot si Tino?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-guided-why-tino,lesson-6,instruction,lessons/lesson-6/guided/lesson-6-guided-why-tino.wav,"Look at the highlighted reason. Why is Tino sad?","Tingnan ang dahilan na naka-highlight. Bakit malungkot si Tino?",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-demo-why-tino,lesson-6,instruction,lessons/lesson-6/demo/lesson-6-demo-why-tino.wav,"The sentence says a cut made Tino sad. Choose A cut.","Nalungkot si Tino dahil sa sugat. Piliin ang sugat.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-6-correct-why-tino,lesson-6,result,lessons/lesson-6/correct/lesson-6-correct-why-tino.wav,"That is correct. A cut made Tino sad.","Tama. Nalungkot si Tino dahil sa sugat.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
learn-with-clara-letters-parade-opening,learn-with-clara,instruction,learn-with-clara/letters/parade/opening.wav,"Oh no. A playful gust scattered the little letters before the parade. Will you help me bring each one back to its big-letter partner?","Naku. Ikinalat ng mapaglarong hangin ang maliliit na letra bago ang parada. Tutulungan mo ba akong ibalik ang bawat isa sa kapareha nitong malaking letra?",code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve the English literacy target."
learn-with-clara-letters-find-a,learn-with-clara,question,learn-with-clara/letters/parade/find-a.wav,"Big A is waiting under the apple arch. Can you find little a?","Naghihintay ang malaking A sa ilalim ng arkong may mansanas. Mahahanap mo ba ang maliit na a?",code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve the English literacy target."
learn-with-clara-letters-find-b,learn-with-clara,question,learn-with-clara/letters/parade/find-b.wav,"Now the balloon float is bobbing away. Find little b so big B has a partner.","Umaindayog na ang float na may lobo. Hanapin ang maliit na b upang magkaroon ng kapareha ang malaking B.",code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve the English literacy target."
learn-with-clara-letters-find-c,learn-with-clara,question,learn-with-clara/letters/parade/find-c.wav,"The curved banner is rolling across the road. Can you spot little c?","Gumugulong sa daan ang pakurbang banderitas. Makikita mo ba ang maliit na c?",code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve the English literacy target."
learn-with-clara-letters-find-d,learn-with-clara,question,learn-with-clara/letters/parade/find-d.wav,"Listen to the drum cart bounce. Find little d beside big D.","Pakinggan ang karitong may tambol. Hanapin ang maliit na d sa tabi ng malaking D.",code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve the English literacy target."
learn-with-clara-letters-find-e,learn-with-clara,question,learn-with-clara/letters/parade/find-e.wav,"One last parade wagon is coming. Find little e so every pair can march together.","Paparating na ang huling karosa. Hanapin ang maliit na e upang magkasamang makapagparada ang bawat pares.",code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve the English literacy target."
learn-with-clara-letters-parade-finale,learn-with-clara,result,learn-with-clara/letters/parade/finale.wav,"We found every little letter. A, B, C, D, and E are together. The Letter Parade can begin.","Nahanap natin ang lahat ng maliliit na letra. Magkakasama na ang A, B, C, D, at E. Maaari nang magsimula ang Letter Parade.",code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve the English literacy target."
lesson-intro,lesson-intro,introduce,lesson-intro/lesson-intro.wav,"Hi. I am happy you are here. Let us get ready to read together.","Kumusta. Masaya akong narito ka. Maghanda tayong magbasa nang magkasama.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-mission-1,lesson-1,instruction,lessons/lesson-1/mission-1/lesson-1-mission-1.wav,"Look at the big letter and the small letter. Say their letter name.","Tingnan ang malaking letra at maliit na letra. Sabihin ang pangalan ng letra.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-mission-2,lesson-1,instruction,lessons/lesson-1/mission-2/lesson-1-mission-2.wav,"Find the first letter in the word. Say its letter name.","Hanapin ang unang letra ng salita. Sabihin ang pangalan nito.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-mission-3,lesson-1,instruction,lessons/lesson-1/mission-3/lesson-1-mission-3.wav,"Find the missing first letter. Say the letter that completes the word.","Hanapin ang nawawalang unang letra. Sabihin ang letrang kukumpleto sa salita.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-complete,lesson-1,result,lessons/lesson-1/completion/lesson-1-complete.wav,"Lesson one is complete. You are a Letter Leader.","Tapos na ang unang aralin. Isa ka nang Letter Leader.",code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve the English literacy target."
lesson-2-mission-1,lesson-2,instruction,lessons/lesson-2/mission-1/lesson-2-mission-1.wav,"Read the word you see. Say the whole word.","Basahin ang salitang nakikita mo. Sabihin ang buong salita.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-2-mission-2,lesson-2,instruction,lessons/lesson-2/mission-2/lesson-2-mission-2.wav,"Look at the sentence. Find the highlighted word, then say that word.","Tingnan ang pangungusap. Hanapin ang salitang naka-highlight, saka sabihin ang salitang iyon.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-2-complete,lesson-2,result,lessons/lesson-2/completion/lesson-2-complete.wav,"Lesson two is complete. You are a Word Wizard.","Tapos na ang ikalawang aralin. Isa ka nang Word Wizard.",code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve the English literacy target."
lesson-3-mission-1,lesson-3,instruction,lessons/lesson-3/mission-1/lesson-3-mission-1.wav,"Read the phrase you see. Say all the words together.","Basahin ang pariralang nakikita mo. Sabihin nang magkakasama ang lahat ng salita.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-3-complete,lesson-3,result,lessons/lesson-3/completion/lesson-3-complete.wav,"Lesson three is complete. You are a Phrase Pro.","Tapos na ang ikatlong aralin. Isa ka nang Phrase Pro.",code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve the English literacy target."
lesson-4-mission-1,lesson-4,instruction,lessons/lesson-4/mission-1/lesson-4-mission-1.wav,"Read the sentence you see. Say all the words from beginning to end.","Basahin ang pangungusap na nakikita mo. Sabihin ang lahat ng salita mula simula hanggang wakas.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-4-complete,lesson-4,result,lessons/lesson-4/completion/lesson-4-complete.wav,"Lesson four is complete. You are a Sentence Star.","Tapos na ang ikaapat na aralin. Isa ka nang Sentence Star.",code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve the English literacy target."
lesson-5-mission-1,lesson-5,instruction,lessons/lesson-5/mission-1/lesson-5-mission-1.wav,"Read the passage from beginning to end. Take your time and say every word.","Basahin ang teksto mula simula hanggang wakas. Huwag magmadali at sabihin ang bawat salita.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-5-complete,lesson-5,result,lessons/lesson-5/completion/lesson-5-complete.wav,"Lesson five is complete. You are a Passage Explorer.","Tapos na ang ikalimang aralin. Isa ka nang Passage Explorer.",code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve the English literacy target."
assessment-orientation,assessments,instruction,part-1/orientation/assessment-orientation.wav,"Let us check your microphone. Say ready, then listen to your recording.","Suriin natin ang iyong mikropono. Sabihin ang ready, saka pakinggan ang iyong recording.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
assessment-letters,assessments,instruction,part-1/task-1a/assessment-letters.wav,"Say the letter you see. Listen to your voice before you submit.","Sabihin ang letrang nakikita mo. Pakinggan ang iyong boses bago isumite.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
assessment-rhymes,assessments,question,part-1/task-2a/assessment-rhymes.wav,"Look at both words. Choose yes if they rhyme, or no if they do not.","Tingnan ang dalawang salita. Piliin ang yes kung magkatugma ang tunog, o no kung hindi.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
assessment-words,assessments,instruction,part-1/task-2b/assessment-words.wav,"Read the word you see. Listen to your voice before you submit.","Basahin ang salitang nakikita mo. Pakinggan ang iyong boses bago isumite.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
assessment-part-one-result,assessments,result,part-1/results/assessment-part-one-result.wav,"Part one is complete. You worked hard, and I am proud of you.","Tapos na ang unang bahagi. Nagsikap ka, at ipinagmamalaki kita.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
assessment-story-choice,assessments,question,part-2/story-choice/assessment-story-choice.wav,"Choose the story you want to read. You can pick Lena at the Park or Rosa in the Garden.","Piliin ang kuwentong gusto mong basahin. Maaari mong piliin ang Lena at the Park o Rosa in the Garden.",code_switch_target,approved,"Approved by the product owner on 2026-08-08. Preserve the English literacy target."
assessment-passage,assessments,instruction,part-2/passage/assessment-passage.wav,"Read the story aloud. You have one minute. You can submit when you finish.","Basahin nang malakas ang kuwento. Mayroon kang isang minuto. Maaari mo itong isumite kapag tapos ka na.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
assessment-comprehension-lena-item-1,assessments,question,part-2/comprehension/assessment-comprehension-lena-item-1.wav,"Choose the best answer. Who goes to the park?","Piliin ang pinakamahusay na sagot. Sino ang pumupunta sa parke?",academic_review,approved,"Approved by the product owner on 2026-08-08, including academic-content review."
assessment-comprehension-lena-item-2,assessments,question,part-2/comprehension/assessment-comprehension-lena-item-2.wav,"What does Lena take?","Ano ang dinadala ni Lena?",academic_review,approved,"Approved by the product owner on 2026-08-08, including academic-content review."
assessment-comprehension-lena-item-3,assessments,question,part-2/comprehension/assessment-comprehension-lena-item-3.wav,"Where does Lena go?","Saan pumupunta si Lena?",academic_review,approved,"Approved by the product owner on 2026-08-08, including academic-content review."
assessment-comprehension-lena-item-4,assessments,question,part-2/comprehension/assessment-comprehension-lena-item-4.wav,"When does Lena go to the park?","Kailan pumupunta si Lena sa parke?",academic_review,approved,"Approved by the product owner on 2026-08-08, including academic-content review."
assessment-comprehension-lena-item-5,assessments,question,part-2/comprehension/assessment-comprehension-lena-item-5.wav,"Why does Lena go to the park?","Bakit pumupunta si Lena sa parke?",academic_review,approved,"Approved by the product owner on 2026-08-08, including academic-content review."
assessment-comprehension-rosa-item-1,assessments,question,part-2/comprehension/assessment-comprehension-rosa-item-1.wav,"Choose the best answer. Who goes to the garden?","Piliin ang pinakamahusay na sagot. Sino ang pumupunta sa hardin?",academic_review,approved,"Approved by the product owner on 2026-08-08, including academic-content review."
assessment-comprehension-rosa-item-2,assessments,question,part-2/comprehension/assessment-comprehension-rosa-item-2.wav,"What does Rosa pick?","Ano ang pinipitas ni Rosa?",academic_review,approved,"Approved by the product owner on 2026-08-08, including academic-content review."
assessment-comprehension-rosa-item-3,assessments,question,part-2/comprehension/assessment-comprehension-rosa-item-3.wav,"Where does Rosa go?","Saan pumupunta si Rosa?",academic_review,approved,"Approved by the product owner on 2026-08-08, including academic-content review."
assessment-comprehension-rosa-item-4,assessments,question,part-2/comprehension/assessment-comprehension-rosa-item-4.wav,"When does Rosa go to the garden?","Kailan pumupunta si Rosa sa hardin?",academic_review,approved,"Approved by the product owner on 2026-08-08, including academic-content review."
assessment-comprehension-rosa-item-5,assessments,question,part-2/comprehension/assessment-comprehension-rosa-item-5.wav,"Why does Rosa go to the garden?","Bakit pumupunta si Rosa sa hardin?",academic_review,approved,"Approved by the product owner on 2026-08-08, including academic-content review."
assessment-part-two-result,assessments,result,part-2/results/assessment-part-two-result.wav,"Part two is complete. You finished reading and understanding the story.","Tapos na ang ikalawang bahagi. Natapos mong basahin at unawain ang kuwento.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
assessment-complete,assessments,result,completion/assessment-complete.wav,"Assessment complete. Your first lesson is ready.","Tapos na ang assessment. Handa na ang una mong aralin.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
assessment-final-complete,assessments,result,completion/assessment-final-complete.wav,"You finished your Reading Journey. I am proud of how much you learned.","Natapos mo ang iyong Reading Journey. Ipinagmamalaki ko ang lahat ng natutuhan mo.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-mission-1-item-2,lesson-1,instruction,lessons/lesson-1/mission-1/lesson-1-mission-1-item-2.wav,"Now, try the second letter.","Ngayon, subukan ang ikalawang letra.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-mission-1-item-3,lesson-1,instruction,lessons/lesson-1/mission-1/lesson-1-mission-1-item-3.wav,"Now, try the third letter.","Ngayon, subukan ang ikatlong letra.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-mission-1-item-4,lesson-1,instruction,lessons/lesson-1/mission-1/lesson-1-mission-1-item-4.wav,"Now, try the fourth letter.","Ngayon, subukan ang ikaapat letra.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-mission-1-item-5,lesson-1,instruction,lessons/lesson-1/mission-1/lesson-1-mission-1-item-5.wav,"Now, try the fifth letter.","Ngayon, subukan ang ikalimang letra.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-mission-2-item-2,lesson-1,instruction,lessons/lesson-1/mission-2/lesson-1-mission-2-item-2.wav,"Now, find the first letter in the second word.","Ngayon, hanapin ang unang letra sa ikalawang salita.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-mission-2-item-3,lesson-1,instruction,lessons/lesson-1/mission-2/lesson-1-mission-2-item-3.wav,"Now, find the first letter in the third word.","Ngayon, hanapin ang unang letra sa ikatlong salita.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-mission-2-item-4,lesson-1,instruction,lessons/lesson-1/mission-2/lesson-1-mission-2-item-4.wav,"Now, find the first letter in the fourth word.","Ngayon, hanapin ang unang letra sa ikaapat salita.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-mission-2-item-5,lesson-1,instruction,lessons/lesson-1/mission-2/lesson-1-mission-2-item-5.wav,"Now, find the first letter in the fifth word.","Ngayon, hanapin ang unang letra sa ikalimang salita.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-mission-3-item-2,lesson-1,instruction,lessons/lesson-1/mission-3/lesson-1-mission-3-item-2.wav,"Now, complete the second word.","Ngayon, kumpletuhin ang ikalawang salita.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-mission-3-item-3,lesson-1,instruction,lessons/lesson-1/mission-3/lesson-1-mission-3-item-3.wav,"Now, complete the third word.","Ngayon, kumpletuhin ang ikatlong salita.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-mission-3-item-4,lesson-1,instruction,lessons/lesson-1/mission-3/lesson-1-mission-3-item-4.wav,"Now, complete the fourth word.","Ngayon, kumpletuhin ang ikaapat salita.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-mission-3-item-5,lesson-1,instruction,lessons/lesson-1/mission-3/lesson-1-mission-3-item-5.wav,"Now, complete the fifth word.","Ngayon, kumpletuhin ang ikalimang salita.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
lesson-1-technical-retry,lesson-1,instruction,lessons/lesson-1/support/technical/lesson-1-technical-retry.wav,"I could not hear that clearly. Let us try once more.","Hindi ko iyon narinig nang malinaw. Subukan natin muli.",translate,approved,"Approved by the product owner on 2026-08-08 for natural child-directed Filipino."
