content_version,status,lesson_key,mission_key,content_id,sort_order,target_type,target_key,display_text,spoken_target,component_word_keys,case_sensitive,punctuation_sensitive,asr_model,difficulty_band,pronunciation_review,display_fingerprint
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-ana-bag,11,sentence,sentence:ana-has-a-bag,Ana has a bag.,ana has a bag,"[""proper-name:ana"",""word:has"",""word:a"",""word:bag""]",false,false,mu,easy,approved,display:ana-has-a-bag
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-ben-cap,12,sentence,sentence:ben-has-a-cap,Ben has a cap.,ben has a cap,"[""proper-name:ben"",""word:has"",""word:a"",""word:cap""]",false,false,mu,easy,approved,display:ben-has-a-cap
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-lena-hop,13,sentence,sentence:lena-can-hop,Lena can hop.,lena can hop,"[""proper-name:lena"",""word:can"",""word:hop""]",false,false,mu,easy,approved,display:lena-can-hop
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-lito-run,14,sentence,sentence:lito-can-run,Lito can run.,lito can run,"[""proper-name:lito"",""word:can"",""word:run""]",false,false,mu,easy,approved,display:lito-can-run
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-mia-cat,15,sentence,sentence:mia-has-a-cat,Mia has a cat.,mia has a cat,"[""proper-name:mia"",""word:has"",""word:a"",""word:cat""]",false,false,mu,easy,approved,display:mia-has-a-cat
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-mina-fan,16,sentence,sentence:mina-has-a-fan,Mina has a fan.,mina has a fan,"[""proper-name:mina"",""word:has"",""word:a"",""word:fan""]",false,false,mu,easy,approved,display:mina-has-a-fan
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-nena-sit,17,sentence,sentence:nena-can-sit,Nena can sit.,nena can sit,"[""proper-name:nena"",""word:can"",""word:sit""]",false,false,mu,easy,approved,display:nena-can-sit
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-nico-dog,18,sentence,sentence:nico-has-a-dog,Nico has a dog.,nico has a dog,"[""proper-name:nico"",""word:has"",""word:a"",""word:dog""]",false,false,mu,easy,approved,display:nico-has-a-dog
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-rosa-red-bag,19,sentence,sentence:rosa-has-a-red-bag,Rosa has a red bag.,rosa has a red bag,"[""proper-name:rosa"",""word:has"",""word:a"",""word:red"",""word:bag""]",false,false,mu,easy,approved,display:rosa-has-a-red-bag
v1,active,required-lesson-4,mission-1,lesson-v1-sentence-tino-pet-pig,20,sentence,sentence:tino-has-a-pet-pig,Tino has a pet pig.,tino has a pet pig,"[""proper-name:tino"",""word:has"",""word:a"",""word:pet"",""word:pig""]",false,false,mu,easy,approved,display:tino-has-a-pet-pig
