content_version,status,lesson_key,mission_key,content_id,sort_order,target_type,target_key,family_key,display_text,spoken_target,syllable_guide,syllable_count,grapheme_pattern,phoneme_guide,has_consonant_cluster,has_consonant_digraph,has_consonant_multigraph,is_irregular,asr_model,difficulty_band,pronunciation_review,display_fingerprint,context_sentence,highlighted_word,highlight_occurrence,context_display_fingerprint,eligible_mission_1,eligible_mission_2
v1,active,required-lesson-2,all,lesson-v1-word-dad,11,word,word:dad,onset-d,dad,dad,dad,1,CVC,D AE D,false,false,false,false,mu,easy,approved,display:dad,Dad has a bag.,Dad,1,display:dad-has-a-bag,true,true
v1,active,required-lesson-2,all,lesson-v1-word-den,12,word,word:den,onset-d,den,den,den,1,CVC,D EH N,false,false,false,false,mu,easy,approved,display:den,A fox is in a den.,den,1,display:a-fox-is-in-a-den,true,true
v1,active,required-lesson-2,all,lesson-v1-word-dig,13,word,word:dig,onset-d,dig,dig,dig,1,CVC,D IH G,false,false,false,false,mu,easy,approved,display:dig,A dog can dig.,dig,1,display:a-dog-can-dig,true,true
v1,active,required-lesson-2,all,lesson-v1-word-dog,14,word,word:dog,onset-d,dog,dog,dog,1,CVC,D AO G,false,false,false,false,mu,easy,approved,display:dog,Ana has a dog.,dog,1,display:ana-has-a-dog,true,true
v1,active,required-lesson-2,all,lesson-v1-word-dot,15,word,word:dot,onset-d,dot,dot,dot,1,CVC,D AA T,false,false,false,false,mu,easy,approved,display:dot,A dot is on a map.,dot,1,display:a-dot-is-on-a-map,true,true
v1,active,required-lesson-2,all,lesson-v1-word-fan,16,word,word:fan,onset-f,fan,fan,fan,1,CVC,F AE N,false,false,false,false,mu,easy,approved,display:fan,Mia has a fan.,fan,1,display:mia-has-a-fan,true,true
v1,active,required-lesson-2,all,lesson-v1-word-fat,17,word,word:fat,onset-f,fat,fat,fat,1,CVC,F AE T,false,false,false,false,mu,easy,approved,display:fat,A pig is fat.,fat,1,display:a-pig-is-fat,true,true
v1,active,required-lesson-2,all,lesson-v1-word-fin,18,word,word:fin,onset-f,fin,fin,fin,1,CVC,F IH N,false,false,false,false,mu,easy,approved,display:fin,A fin is on a cod.,fin,1,display:a-fin-is-on-a-cod,true,true
v1,active,required-lesson-2,all,lesson-v1-word-fit,19,word,word:fit,onset-f,fit,fit,fit,1,CVC,F IH T,false,false,false,false,mu,easy,approved,display:fit,A cap can fit.,fit,1,display:a-cap-can-fit,true,true
v1,active,required-lesson-2,all,lesson-v1-word-fun,20,word,word:fun,onset-f,fun,fun,fun,1,CVC,F AH N,false,false,false,false,mu,easy,approved,display:fun,A run is fun.,fun,1,display:a-run-is-fun,true,true
v1,active,required-lesson-2,all,lesson-v1-word-gap,21,word,word:gap,onset-g,gap,gap,gap,1,CVC,G AE P,false,false,false,false,mu,easy,approved,display:gap,A gap is in a log.,gap,1,display:a-gap-is-in-a-log,true,true
v1,active,required-lesson-2,all,lesson-v1-word-gas,22,word,word:gas,onset-g,gas,gas,gas,1,CVC,G AE S,false,false,false,false,mu,easy,approved,display:gas,Gas is in a can.,Gas,1,display:gas-is-in-a-can,true,true
v1,active,required-lesson-2,all,lesson-v1-word-get,23,word,word:get,onset-g,get,get,get,1,CVC,G EH T,false,false,false,false,mu,easy,approved,display:get,Ana can get a pen.,get,1,display:ana-can-get-a-pen,true,true
v1,active,required-lesson-2,all,lesson-v1-word-got,24,word,word:got,onset-g,got,got,got,1,CVC,G AA T,false,false,false,false,mu,easy,approved,display:got,Ana got a pen.,got,1,display:ana-got-a-pen,true,true
v1,active,required-lesson-2,all,lesson-v1-word-gum,25,word,word:gum,onset-g,gum,gum,gum,1,CVC,G AH M,false,false,false,false,mu,easy,approved,display:gum,Ben has gum.,gum,1,display:ben-has-gum,true,true
v1,active,required-lesson-2,all,lesson-v1-word-ham,26,word,word:ham,onset-h,ham,ham,ham,1,CVC,HH AE M,false,false,false,false,mu,easy,approved,display:ham,Mia has ham.,ham,1,display:mia-has-ham,true,true
v1,active,required-lesson-2,all,lesson-v1-word-hat,27,word,word:hat,onset-h,hat,hat,hat,1,CVC,HH AE T,false,false,false,false,mu,easy,approved,display:hat,Ben has a hat.,hat,1,display:ben-has-a-hat,true,true
v1,active,required-lesson-2,all,lesson-v1-word-hen,28,word,word:hen,onset-h,hen,hen,hen,1,CVC,HH EH N,false,false,false,false,mu,easy,approved,display:hen,A hen can sit.,hen,1,display:a-hen-can-sit,true,true
v1,active,required-lesson-2,all,lesson-v1-word-hip,29,word,word:hip,onset-h,hip,hip,hip,1,CVC,HH IH P,false,false,false,false,mu,easy,approved,display:hip,My hip is sore.,hip,1,display:my-hip-is-sore,true,true
v1,active,required-lesson-2,all,lesson-v1-word-hot,30,word,word:hot,onset-h,hot,hot,hot,1,CVC,HH AA T,false,false,false,false,mu,easy,approved,display:hot,A bun is hot.,hot,1,display:a-bun-is-hot,true,true
v1,active,required-lesson-2,all,lesson-v1-word-jam,31,word,word:jam,onset-j,jam,jam,jam,1,CVC,JH AE M,false,false,false,false,mu,easy,approved,display:jam,Mia has jam.,jam,1,display:mia-has-jam,true,true
v1,active,required-lesson-2,all,lesson-v1-word-jet,32,word,word:jet,onset-j,jet,jet,jet,1,CVC,JH EH T,false,false,false,false,mu,easy,approved,display:jet,A jet is big.,jet,1,display:a-jet-is-big,true,true
v1,active,required-lesson-2,all,lesson-v1-word-job,33,word,word:job,onset-j,job,job,job,1,CVC,JH AA B,false,false,false,false,mu,easy,approved,display:job,Dad has a job.,job,1,display:dad-has-a-job,true,true
v1,active,required-lesson-2,all,lesson-v1-word-jog,34,word,word:jog,onset-j,jog,jog,jog,1,CVC,JH AA G,false,false,false,false,mu,easy,approved,display:jog,Ana can jog.,jog,1,display:ana-can-jog,true,true
v1,active,required-lesson-2,all,lesson-v1-word-jug,35,word,word:jug,onset-j,jug,jug,jug,1,CVC,JH AH G,false,false,false,false,mu,easy,approved,display:jug,A jug is on a mat.,jug,1,display:a-jug-is-on-a-mat,true,true
v1,active,required-lesson-2,all,lesson-v1-word-lap,36,word,word:lap,onset-l,lap,lap,lap,1,CVC,L AE P,false,false,false,false,mu,easy,approved,display:lap,A cat is on my lap.,lap,1,display:a-cat-is-on-my-lap,true,true
v1,active,required-lesson-2,all,lesson-v1-word-leg,37,word,word:leg,onset-l,leg,leg,leg,1,CVC,L EH G,false,false,false,false,mu,easy,approved,display:leg,A bug is on my leg.,leg,1,display:a-bug-is-on-my-leg,true,true
v1,active,required-lesson-2,all,lesson-v1-word-lid,38,word,word:lid,onset-l,lid,lid,lid,1,CVC,L IH D,false,false,false,false,mu,easy,approved,display:lid,A lid is on a pot.,lid,1,display:a-lid-is-on-a-pot,true,true
v1,active,required-lesson-2,all,lesson-v1-word-lip,39,word,word:lip,onset-l,lip,lip,lip,1,CVC,L IH P,false,false,false,false,mu,easy,approved,display:lip,My lip has a cut.,lip,1,display:my-lip-has-a-cut,true,true
v1,active,required-lesson-2,all,lesson-v1-word-log,40,word,word:log,onset-l,log,log,log,1,CVC,L AO G,false,false,false,false,mu,easy,approved,display:log,A log is in mud.,log,1,display:a-log-is-in-mud,true,true
v1,active,required-lesson-2,all,lesson-v1-word-man,41,word,word:man,onset-m,man,man,man,1,CVC,M AE N,false,false,false,false,mu,easy,approved,display:man,A man has a hat.,man,1,display:a-man-has-a-hat,true,true
v1,active,required-lesson-2,all,lesson-v1-word-map,42,word,word:map,onset-m,map,map,map,1,CVC,M AE P,false,false,false,false,mu,easy,approved,display:map,Ana has a map.,map,1,display:ana-has-a-map,true,true
v1,active,required-lesson-2,all,lesson-v1-word-mat,43,word,word:mat,onset-m,mat,mat,mat,1,CVC,M AE T,false,false,false,false,mu,easy,approved,display:mat,A mat is tan.,mat,1,display:a-mat-is-tan,true,true
v1,active,required-lesson-2,all,lesson-v1-word-men,44,word,word:men,onset-m,men,men,men,1,CVC,M EH N,false,false,false,false,mu,easy,approved,display:men,Men can sit.,Men,1,display:men-can-sit,true,true
v1,active,required-lesson-2,all,lesson-v1-word-mug,45,word,word:mug,onset-m,mug,mug,mug,1,CVC,M AH G,false,false,false,false,mu,easy,approved,display:mug,A mug is on a mat.,mug,1,display:a-mug-is-on-a-mat,true,true
v1,active,required-lesson-2,all,lesson-v1-word-pan,46,word,word:pan,onset-p,pan,pan,pan,1,CVC,P AE N,false,false,false,false,mu,easy,approved,display:pan,A pan is on a mat.,pan,1,display:a-pan-is-on-a-mat,true,true
v1,active,required-lesson-2,all,lesson-v1-word-pen,47,word,word:pen,onset-p,pen,pen,pen,1,CVC,P EH N,false,false,false,false,mu,easy,approved,display:pen,Ben has a pen.,pen,1,display:ben-has-a-pen,true,true
v1,active,required-lesson-2,all,lesson-v1-word-pet,48,word,word:pet,onset-p,pet,pet,pet,1,CVC,P EH T,false,false,false,false,mu,easy,approved,display:pet,A cat is a pet.,pet,1,display:a-cat-is-a-pet,true,true
v1,active,required-lesson-2,all,lesson-v1-word-pig,49,word,word:pig,onset-p,pig,pig,pig,1,CVC,P IH G,false,false,false,false,mu,easy,approved,display:pig,A pig can run.,pig,1,display:a-pig-can-run,true,true
v1,active,required-lesson-2,all,lesson-v1-word-pot,50,word,word:pot,onset-p,pot,pot,pot,1,CVC,P AA T,false,false,false,false,mu,easy,approved,display:pot,A pot is on a mat.,pot,1,display:a-pot-is-on-a-mat,true,true
